content,rating,type,publishedDate,tokenization,sequence_num,status,origin
露營區人員都很好，都會幫忙協助很多事情食材也很棒 烤肉物品 用具都有,5,2,2023/05/07,,0,1,1
環境清境，乾淨舒適，Chil的氛圍感很喜歡,5,2,2023/05/28,,1,1,1
厚烤豬排佐洋蔥黑豆飯，5分景色，5分其實餐點都不錯，但是我們進店的時候，感覺人員都不在狀況內。點餐時說上餐預備需一個半小時，有傻眼到⋯皇帝的餐點嗎還好最後沒有真的這麼久。,4,2,2024/01/06,,2,1,1
讚！伙食服務等等都很好！環境優美乾淨整潔~~,5,2,2024/03/08,,3,1,1
第一次預訂全包式露營體驗，用Klook很方便，園區內活動很豐富腹地也很寬廣，泳池讓孩子玩瘋了，期待再訪！,5,2,2022-09-15 12:34:06,,4,1,1
老闆親切又熱情 營區乾淨清幽 大大推薦！！！！！,5,2,2024/04/07,,5,1,1
除了營地外，有針對小朋友活動的遊樂設施和空活動空間。扭扭車賽車人氣總是很旺，不容易玩到。,5,2,2019/05/07,,6,1,1
帳篷很漂亮️鄰近高美濕地，交通方便，服務態度也超好推薦大家,5,2,2024/05/05,,7,1,1
露營車比想像中小開車會比較方便餐點選烤肉可能比較好SUP教練小楊推薦，天氣熱適合玩水,5,2,2023/08/08,,8,1,1
半年多前訂的包場訂到差點忘記還好貼心的管家有聯繫確認包場細節用心程度絕對超乎預期露營車內部整潔與外部的環境維持都很優秀飲料自助吧的真材實料，供應時間超有誠意無限到晚上九點半鮮奶茶、黑糖牛奶、咖啡、可樂現打新鮮果汁真的現點現打外燴已經吃撐了還奉上水果超逼人車內的隔音很優秀比想像中好很多很多很多（這是露營車不是飯店）btw附近覓食的不方便在訂露營車的時候天ㄟ小管家都有提醒以及關心我們的晚餐安排而非在評論上扣星怪場地的美中不足,5,2,2021/05/07,,9,1,1
帳篷很美很乾淨，食物很好吃，服務人員很親切又有趣！洗澡的地方熱水很足夠水壓又強，東西都很有質感用的都是好東西沒有在敷衍的那種，看來老闆很有品味，推推！,5,2,2021-10-02 11:20:26,,10,1,1
床墊太沒支撐力，太硬了，有點回到大學宿舍得感覺...這樣子的價格給這麼爛的床好像有點說不過去吧...,2,2,2023/05/07,,11,-1,1
環境很棒、住起來很舒服。每一份餐點也都非常用心準備，而且老闆帥氣有趣和藹可親。非常推薦喔！,5,2,2020/05/07,,12,1,1
第一次露營，所以先初體驗選擇懶人露營，環境很清幽，營區3帳，很適合不喜歡吵鬧的人，晚餐火鍋很氣派，讚讚最主要人老闆、服務人員都很熱情，就像回到親戚家的熱情款待，很推薦親子友善也很推喔 …,5,2,2023/05/07,,13,1,1
非常放鬆的好地方 會有置身在國外的感覺 餐廳有無敵海景 環境及浴廁乾淨 家人都很滿意  有機會 會在入住~,5,2,2023-03-01 01:55:23,,14,1,1
是一趟很值得的旅程，雖然有一段路比較難開，但是抵達後那樣的美景非常療癒人心，民宿也提供了非常多東西，如果是要烤肉的話只要自備食材還有碗盤其他的營區基本上都有哦～,5,2,2022-10-08T00:54:53+08:00,,15,1,1
帳篷狗味很重，對寵物友善是很好，但不養寵物的人就會很困擾。冷氣滿滿灰塵，只能說表面功夫做很好。有規定夜間保持安靜，但卻可以讓吧檯區喧嘩到半夜，甚至有汽機車(還有警車)可以在半夜竄來竄去，對於標榜享受大自然寧靜的露營區有點言過其實，適合開趴跟放風寵物。帳篷間距很近，正常聊天都可以聽到，入住當晚隔壁有對夫妻不知是不是精神有問題，整晚就聽老公在幹X娘，現在知道來這種露營區享受安寧是要看運氣的，看你是不是能遇到有公德心的人,1,2,2024/08/02,,16,-1,1
除了客服很差以外都還不錯餐點的話下午茶就是各種好市多的加熱食物表現普普不雷不突出晚餐就比較幽默一點主打麻辣火鍋，但麻辣火鍋最沒特色清湯跟水一樣，麻辣沒有半點辣不過熟食跟牛排非常好吃早餐是三餐最表現最好的各方面都滿好吃的，食物靠早餐拉分回來這裡感覺滿適合帶小朋友來的我是沒小孩但園區很多小孩半夜沒聽到小孩的吵鬧聲嗯他們放電的很充足，晚上不吵讚不過總結以上如果你都花了這些錢我是覺得可以去別的地方,3,2,2023/08/07,,17,0,1
園區設施完善，內容豐富，非常棒，適合全家及朋友群一起來玩，歡樂氣氛洋溢,5,2,2022-05-23T12:05:51+08:00,,18,1,1
很輕鬆的地方～而且雲海的風景真的很美！有貓、有吃、有雲、有可愛的人真的蠻適合休假來一趟的(˶‾᷄ ⁻̫ ‾᷅˵),5,2,2022/05/07,,19,1,1
園區環境整理極差，房間明顯清潔不足（牆面有明顯灰塵/霉，浴室還有蜘蛛&蜘蛛網，床鋪潮潮的，睡了會發癢，小木屋閣樓客廳桌面也都是霉）硬體明顯沒有用心整理，和網路照片相差甚遠。唯一值得稱讚的是服務人員態度極佳，主動幫忙。,1,2,2023/11/07,,20,-1,1
超級推的住宿環境！房間內就可以看得到天空，車子在門前方便移動和拿東西，還有穩定的熱水供應！,5,2,2021/05/07,,21,1,1
